Layer ID,Layer Name,Layer Type,Parent,Section,Z-Index,Position X,Position Y,Width,Height,Opacity Start,Opacity End,Scale Start,Scale End,Translate X Start,Translate X End,Translate Y Start,Translate Y End,Rotation Start,Rotation End,Blur Start,Blur End,Delay (ms),Duration (ms),Easing,Animation Type,Loop,Notes

# ════════════════════════════════════════════════════════════════════════════
# SPECTRE AI — Landing Page Motion Design Storyboard
# Format: CSV for AI motion design tools (Rive, Jitter, Cavalry, After Effects)
# Mode: Cinema Mode (Netflix-style) — Primary Landing Experience
# Resolution: 1920x1080 (scales to 4K)
# FPS: 60
# Total Duration: 4000ms entrance sequence + perpetual ambient loops
# ════════════════════════════════════════════════════════════════════════════

# ── PHASE 0: BACKGROUND LAYERS (0-600ms) ──────────────────────────────────

BG-001,App Background,solid-fill,root,Background,0,0,0,1920,1080,1,1,1,1,0,0,0,0,0,0,0,0,0,0,linear,static,false,Deep black #0a0a0f base fill
BG-002,Live Chart Canvas,canvas,root,Background,1,0,0,1920,1080,0,0.12,1,1,0,0,0,0,0,0,0,0,0,1200,ease-out,fade-in,false,Full-screen animated price chart (BTC 7d sparkline) — breathes vertically at 0.03Hz
BG-003,Sentiment Wall Glow,radial-gradient,root,Background,2,960,540,1920,1080,0,0.22,0.8,1.05,0,0,0,0,0,0,40,0,200,2000,cubic-bezier(0.16 1 0.3 1),fade-scale,true,Radial glow pulsing 8s cycle — color driven by market sentiment (green=bull / red=bear / indigo=neutral)
BG-004,Readability Overlay,gradient,root,Background,3,0,0,1920,1080,0,0.6,1,1,0,0,0,0,0,0,0,0,0,800,ease-out,fade-in,false,Linear gradient top-to-bottom for text readability over chart

# ── PHASE 1: NAVIGATION CHROME (0-400ms) ──────────────────────────────────

NAV-001,Top Header Bar,container,root,Navigation,100,0,0,1920,52,0,1,1,1,0,0,-8,0,0,0,0,0,0,350,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Glassmorphic header — slides down from top
NAV-002,Spectre Logo,image+text,NAV-001,Navigation,101,16,10,140,32,0,1,0.9,1,0,0,0,0,0,0,0,0,50,300,cubic-bezier(0.16 1 0.3 1),scale-fade,false,Logo mark + wordmark
NAV-003,Search Bar,input,NAV-001,Navigation,101,700,10,240,32,0,1,1,1,-20,0,0,0,0,0,0,0,150,300,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Glassmorphic search input
NAV-004,GM Button,button,NAV-001,Navigation,101,580,10,40,32,0,1,0.8,1,0,0,0,0,0,0,0,0,200,250,cubic-bezier(0.16 1 0.3 1),scale-fade,false,Green badge button
NAV-005,ROI % Button,button,NAV-001,Navigation,101,628,10,52,32,0,1,0.8,1,0,0,0,0,0,0,0,0,230,250,cubic-bezier(0.16 1 0.3 1),scale-fade,false,Orange badge button
NAV-006,Crypto/Stocks Toggle,segmented-control,NAV-001,Navigation,101,1380,10,120,32,0,1,1,1,20,0,0,0,0,0,0,0,180,300,cubic-bezier(0.16 1 0.3 1),slide-fade,false,Market mode switcher
